"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"케이카","381970","KOSPI","한앤코오토서비스홀딩스","오너·특수관계","72.21","0","▼72.21%p","-35,255,670주","주식매매계약 거래 종결에 따른 보고자의 보유주식 전량 처분 - 주식매매계약 ","-2,246억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000434"
"코웨이","021240","KOSPI","넷마블","주요주주","26.47","27.67","▲1.2%p","+845,502주","보유주식수 변동","+803억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000485"
"아이큐어","175250","KOSDAQ","솔루엠코스메틱","주요주주","0","39.34","▲39.34%p","+24,287,115주","신주인수계약에 따른 유상증자 신주 취득","+527억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000098"
"롯데관광개발","032350","KOSPI","엔브이8홀딩스","기관·투자자","5.3","3.3","▼2%p","-1,097,097주","제3자배정방식으로발행된무기명식사모전환사채의취득","-146억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000042"
"네오이뮨텍","950220","KOSDAQ","무림-블루웨이브 제2호 신기술투자조합","기관·투자자","7.09","14.93","▲7.84%p","-1,541,160주","전환가액 조정 및 전환주식 매도","-47억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000452"
"유니슨","018000","KOSDAQ","비그림파워코리아","주요주주","13.71","13.46","▼0.25%p","+3,638,125주","장내 매수에 따른 변동 보고","+38억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000439"
"빛과전자","069540","KOSDAQ","비엔에스조합","주요주주","34.81","29.01","▼5.8%p","-1,120,000주","장내매도 및 주식담보계약 계약 체결","-32억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000520"
"오리엔트바이오","002630","KOSPI","오리엔트","오너·특수관계","39.65","40.2","▲0.55%p","+329,895주","특별관계자의 주식 매수","+24억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000164"
"딥커머스","900110","KOSDAQ","DING SHAOYING","주요주주","14.66","38.14","▲23.48%p","+1,503,199주","주식병합 및 주식병합으로 인한 주식매수선택권부여수량 조정 - 제3자배정 유상","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000423"
"서울식품공업","004410","KOSPI","정필문","주요주주","9.52","12.2","▲2.68%p","+1,062,843주","보유 주식수 변동","+13억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000087"
"MDS스피어","009810","KOSPI","트라이콘 1호 투자조합","오너·특수관계","23.48","31.08","▲7.6%p","+2,759,878주","특별관계자의 추가 및 유상증자에 따른 신주 취득","+11억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000295"
