"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"신한지주","055550","KOSPI","CapitalResearchandManagementCompany","외국계","4.99","5.02","▲0.03%p","+23,568,346주","단순투자목적으로 장내에서 발행회사의 주식 매수 - 단순투자목적으로 장외에서 ","+123억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000035"
"에넥스","011090","KOSPI","에넥스미래성장조합","주요주주","0","28.48","▲28.48%p","+3,377,388주","주식양수도계약 정정","+115억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000215"
"한국첨단소재","062970","KOSDAQ","나카모토투자조합","기관·투자자","0","14.05","▲14.05%p","+4,358,275주","지분 신규 취득","+105억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000236"
"에이프로젠바이오로직스","003060","KOSPI","이창순","주요주주","0","16.95","▲16.95%p","+3,262,642주","전환사채 매수","+60억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000203"
"에스오에스랩","464080","KOSDAQ","KB자산운용","기관·투자자","5.36","6.34","▲0.98%p","+188,531주","1%이상 변동","+36억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000333"
"사토시홀딩스","223310","KOSDAQ","메타플렉스","오너·특수관계","50.64","43.67","▼6.97%p","-706,565주","특별관계자의 보유주식 장내매도 및 장외매도","-30억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000278"
"KT나스미디어","089600","KOSDAQ","브이아이피자산운용","기관·투자자","4.99","5.87","▲0.88%p","+670,115주","5% 이상 신규취득","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000240"
"코스메카코리아","241710","KOSDAQ","KB자산운용","기관·투자자","5.34","3.16","▼2.18%p","-232,056주","1%이상 변동","+12억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000334"
"에이텍","045660","KOSDAQ","신승영","주요주주","34.01","35.25","▲1.24%p","+102,627주","보유주식등의 수 및 보유비율 변동","+10억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000267"
"드림시큐리티","203650","KOSDAQ","범진규","주요주주","41.56","41.95","▲0.39%p","+403,000주","주식담보대출계약 기간 연장 - 보유주식등의 수 및 보유비율 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000339"
"하이퍼코퍼레이션","065650","KOSDAQ","제이케이(JK)신기술투자조합제12호","오너·특수관계","55.78","54.52","▼1.26%p","-404,095주","특별관계자 전환사채 장외매도에 따른 변동보고","-7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000321"
"영화금속","012280","KOSPI","삼신정밀","오너·특수관계","27.17","28.07","▲0.9%p","+90,000주","최대주주의 주식 장내매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000074"
"한스바이오메드","042520","KOSDAQ","KB자산운용","기관·투자자","5.89","4.3","▼1.59%p","-227,751주","1%이상 변동","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000335"
"오이솔루션","138080","KOSDAQ","박찬","주요주주","23.35","23.26","▼0.09%p","-10,000주","의결권 있는 주식 장내매도 및 담보 주식 수 일부 상환","-2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000326"
"이녹스첨단소재","272290","KOSDAQ","이녹스","주요주주","33.85","33.89","▲0.04%p","+8,678주","장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000281"
"에스넷","038680","KOSDAQ","박효대","오너·특수관계","26.01","26.2","▲0.19%p","+39,000주","특별관계자 장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000286"
"FSN","214270","KOSDAQ","제이투비","오너·특수관계","28.95","28.98","▲0.03%p","+15,167주","특별관계자 서정교 주식 장내매매 - 특별관계자 김경호 주식 장내매수 - 특별","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000303"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","54.88","55.42","▲0.54%p","+50,000주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000191"
"인성정보","033230","KOSDAQ","에스넷","오너·특수관계","23.58","23.73","▲0.15%p","+75,000주","최대주주 장내매수에 따른 변동보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000255"
"부국증권","001270","KOSPI","김중건","오너·특수관계","35.12","35.14","▲0.02%p","+1,552주","보고자, 특별관계자의 유가증권시장에서의 주식 매매","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000349"
"동아쏘시오홀딩스","000640","KOSPI","강정석","주요주주","42.53","42.54","▲0.01%p","+500주","장내매수, 주식담보대출 상환","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000204"
